MetaData
Device name,Address,Record name,Start,End,Logging frequency,Ringbuffer frequency
1-01107,EA:5E:A0:E1:13:3F,,24.10.2025 16:14:56,24.10.2025 16:17:17,10.0,-
Sensor-id,0,1,2,3
Description,Ch1,Ch2,Ch3,Ch4
Unit,mA,mA,mA,mA
App version,6.3.0
App hash,appInfoView.commitShaUnknown
Firmware version,6.2.0
Firmware hash,6e2bd86
Phone model,SM-A528B
Phone OS,14




Sensordata
Time in ms,Ch1  in  mA,Ch2  in  mA,Ch3  in  mA,Ch4  in  mA,
0,0.1071704523610606,7.666686937917348,5.297541374054617,4.389669416009838,
100,0.10570560999713052,7.666622312518939,5.2996237480033415,4.391335315168817,
200,0.11650164183129164,7.671397411401358,5.299853527197683,4.392667316436018,
300,0.10038837582806082,7.668485678173056,5.301544558456044,4.394020859502689,
400,0.11041608348114096,7.670460343124432,5.297717298750285,4.390976285177658,
500,0.10407561383726716,7.673206922556801,5.2986615476270345,4.397241358523388,
600,0.11655549632996554,7.6693904337507774,5.302901691822626,4.396092462551678,
700,0.117919810296371,7.66944069794954,5.301146035165857,4.394211145398003,
800,0.10704838216406642,7.672883795564758,5.298151725039588,4.391579455562805,
900,0.10045659152638109,7.669864353339108,5.302237486338981,4.3940244498026,
1000,0.09951952324945523,7.669376072551131,5.300424384883627,4.3908721664802215,
1100,0.10011192273486813,7.669139112756966,5.300506961781593,4.397686555712426,
1200,0.10102385891241283,7.6689129238625355,5.298632825227742,4.393554120514182,
1300,0.10446336622771923,7.6718354279905725,5.299408330008646,4.391166571072972,
1400,0.10614362658634491,7.6693365792521035,5.297746021149578,4.39487894118156,
1500,0.10518501650994949,7.6672003508047055,5.295918558494577,4.39517334577431,
1600,0.10246715947687335,7.668769311866072,5.299157009014834,4.393945463204545,
1700,0.1069011798676911,7.667494755397456,5.299408330008646,4.399553511666454,
1800,0.10666422007352594,7.666525374421326,5.300097667591672,4.395320548070686,
1900,0.1082475423345386,7.665387249349351,5.297921945845246,4.3971049271267475,
2000,0.10839474463091392,7.667810701789676,5.301763566750651,4.394469646991638,
2100,0.10430898333152072,7.669182196355905,5.299210863513508,4.396821293433732,
2200,0.11032991628326272,7.668600567770227,5.299806853298833,4.394189603598534,
2300,0.10102744921232443,7.6711819934066625,5.30230211173739,4.393403327917895,
2400,0.1010418104119708,7.669494552448214,5.301095770967095,4.399007786079892,
2500,0.10671448427228825,7.670700893218509,5.300506961781593,4.393769538508877,
2600,0.11185579374568988,7.671501530098794,5.301393765859757,4.390724964183846,
2700,0.11462750527743992,7.671160451607193,5.298930820120404,4.400031021554696,
2800,0.10921692331066879,7.672715051468913,5.300381301284688,4.393112513625056,
2900,0.11618928573898302,7.670869637314354,5.300621851378764,4.399539150466808,
